mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
3,3,5,5,7,7,3,3,5,5,7,7
ADVANCED,BASIC,ADVANCED,BASIC,ADVANCED,BASIC,ADVANCED,BASIC,ADVANCED,BASIC,ADVANCED,BASIC
0.95,,,,,,0.0,,,,,
0.95,,,,,,0.0,,,,,
0.96536585366,0.9756097561,0.96536585366,,,,0.014027041108175492,0.0,0.014027041108175483,,,
0.95,,,,,,0.0,,,,,
0.95,,,,,,0.0,,,,,
0.9756097561000001,0.96280487805,0.9756097561000001,,,,0.0,0.018108832202843508,0.0,,,
0.95,,,,,,0.0,,,,,
0.96024390244,,,,,,0.014027041108175459,,,,,
0.9756097561000001,0.96280487805,0.97048780488,,,,0.0,0.018108832202843508,0.011453031105357971,,,
0.95,,,,,,0.0,,,,,
0.95,,,,,,0.0,,,,,
0.9756097561000001,0.96280487805,0.9756097561000001,,,,0.0,0.018108832202843508,0.0,,,
0.95,,,,,,0.0,,,,,
0.9551219512200001,,,,,,0.011453031105357971,,,,,
0.97048780488,0.96280487805,0.9756097561000001,,,,0.011453031105357971,0.018108832202843508,0.0,,,
0.95,,,,,,0.0,,,,,
0.95,,,,,,0.0,,,,,
0.96536585366,0.96280487805,0.9756097561000001,,,,0.014027041108175492,0.018108832202843508,0.0,,,
0.95,,,,,,0.0,,,,,
0.96024390244,,,,,,0.014027041108175492,,,,,
0.96536585366,0.9756097561,0.97048780488,,,,0.014027041108175492,0.0,0.011453031105357971,,,
0.95,,,,,,0.0,,,,,
0.9551219512200001,,,,,,0.01145303110535794,,,,,
0.9756097561000001,0.9756097561,0.9756097561000001,,,,0.0,0.0,0.0,,,
0.95,,,,,,0.0,,,,,
0.96024390244,,,,,,0.014027041108175492,,,,,
0.97048780488,0.9756097561,0.97048780488,,,,0.011453031105357971,0.0,0.011453031105357971,,,
0.95,,,,,,0.0,,,,,
0.9551219512200001,,,,,,0.011453031105357944,,,,,
0.9756097561000001,0.9756097561,0.9756097561000001,,,,0.0,0.0,0.0,,,
0.95,,,,,,0.0,,,,,
0.9551219512200001,,,,,,0.011453031105357944,,,,,
0.9756097561000001,0.96280487805,0.97048780488,,,,0.0,0.018108832202843508,0.011453031105357971,,,
0.95,,,,,,0.0,,,,,
0.96024390244,,,,,,0.014027041108175459,,,,,
0.9756097561000001,0.9756097561,0.9756097561000001,,,,0.0,0.0,0.0,,,
0.94536585366,,,,,,0.010362266233921872,,,,,
0.97048780488,,,,,,0.011453031105357956,,,,,
0.9756097561000001,0.96280487805,0.97048780488,,,,0.0,0.018108832202843508,0.011453031105357956,,,
0.95,,,,,,0.0,,,,,
0.96024390244,,,,,,0.014027041108175492,,,,,
0.9756097561000001,0.9756097561,0.9756097561000001,,,,0.0,0.0,0.0,,,
0.95,,,,,,0.0,,,,,
0.9551219512200001,,,,,,0.011453031105357971,,,,,
0.9756097561000001,0.96280487805,0.9756097561000001,,,,0.0,0.018108832202843508,0.0,,,
0.95,,,,,,0.0,,,,,
0.97048780488,,,,,,0.011453031105357956,,,,,
0.9756097561000001,0.9756097561,0.9756097561000001,,,,0.0,0.0,0.0,,,
0.9551219512200001,,,,,,0.011453031105357971,,,,,
0.96024390244,,,,,,0.01402704110817548,,,,,
0.96536585366,0.96280487805,0.97048780488,,,,0.014027041108175469,0.018108832202843508,0.011453031105357971,,,
0.95,,,,,,0.0,,,,,
0.96024390244,,,,,,0.014027041108175483,,,,,
0.9756097561000001,0.9756097561,0.9756097561000001,,,,0.0,0.0,0.0,,,
0.9556097561,,,,,,0.020562436656491614,,,,,
0.9556097561,,,,,,0.020562436656491614,,,,,
0.92431322208,0.8858974359,0.92967907574,,,,0.026418963970208598,0.01994403741445591,0.022710583558133303,,,
0.9556097561,,,,,,0.020562436656491614,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9189286067000001,0.89736842105,0.9235439913200001,,,,0.022296827635005647,0.003721614641545536,0.01962779656341466,,,
0.9456097561,,,,,,0.03260456568875333,,,,,
0.96536585366,,,,,,0.014027041108175469,,,,,
0.9132605905,0.89736842105,0.9299812382800001,,,,0.024474450952118407,0.003721614641545536,0.020964140652946016,,,
0.96536585366,,,,,,0.014027041108175483,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.92921200752,0.89736842105,0.92921200752,,,,0.011733881072141546,0.003721614641545536,0.011733881072141546,,,
0.9556097561,,,,,,0.020562436656491614,,,,,
0.95609756098,,,,,,0.026718173534165564,,,,,
0.91972482802,0.8858974359,0.9289286067000001,,,,0.03380086793337911,0.01994403741445591,0.02288959053991906,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9299812382800001,0.9089068826,0.93998123828,,,,0.020964140652946016,0.020039463454475968,0.013782751405887854,,,
0.9509756097600001,,,,,,0.024396340699020358,,,,,
0.9556097561,,,,,,0.020562436656491614,,,,,
0.9235439913200001,0.8858974359,0.92972482802,,,,0.01962779656341466,0.01994403741445591,0.03390247738071268,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.93534709194,0.8974358974500001,0.9299812382800001,,,,0.013463646531642354,0.036261886227386415,0.020964140652946016,,,
0.9556097561,,,,,,0.020562436656491614,,,,,
0.9607317073200001,,,,,,0.02195799353314832,,,,,
0.9353658536600001,0.8858974359,0.92536585366,,,,0.02217031580746378,0.01994403741445591,0.025013381308865008,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.93534709194,0.9089068826,0.93534709194,,,,0.013463646531642354,0.020039463454475968,0.013463646531642354,,,
0.9507317073199999,,,,,,0.03536164819407862,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9250906816800001,0.91153846155,0.93405055792,,,,0.03196653326515784,0.01631784881293043,0.030412528637644324,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
0.9299812382800001,0.8974358974500001,0.94073170732,,,,0.020964140652946016,0.036261886227386415,0.012691132425990057,,,
0.9509756097600001,,,,,,0.024396340699020358,,,,,
0.9612078977999999,,,,,,0.02169127531331829,,,,,
0.9299812382800001,0.9,0.91972482802,,,,0.020964140652946016,0.0,0.03380086793337911,,,
0.95609756098,,,,,,0.026718173534165564,,,,,
0.96585365854,,,,,,0.02181529733927984,,,,,
0.92534709194,0.8974358974500001,0.93073170732,,,,0.01774674833396262,0.036261886227386415,0.02072094412072037,,,
0.9514518002399999,,,,,,0.02439577394076937,,,,,
0.96585365854,,,,,,0.02181529733927984,,,,,
0.9299812382800001,0.91153846155,0.92972482802,,,,0.020964140652946016,0.01631784881293043,0.03390247738071268,,,
0.95609756098,,,,,,0.026718173534165564,,,,,
0.9607317073200001,,,,,,0.021957993533148333,,,,,
