dataset_name,oversampling_option,oversampler_name,n_neighbors,take,params
ozone_level,BASIC,SMOTE,3,1,216
ozone_level,BASIC,SMOTE,3,2,216
ozone_level,BASIC,SMOTE,3,3,216
ozone_level,BASIC,SMOTE,3,4,216
ozone_level,BASIC,SMOTE,3,5,216
ozone_level,BASIC,SMOTE,5,1,216
ozone_level,BASIC,SMOTE,5,2,216
ozone_level,BASIC,SMOTE,5,3,216
ozone_level,BASIC,SMOTE,5,4,216
ozone_level,BASIC,SMOTE,5,5,216
ozone_level,BASIC,SMOTE,7,1,216
ozone_level,BASIC,SMOTE,7,2,216
ozone_level,BASIC,SMOTE,7,3,216
ozone_level,BASIC,SMOTE,7,4,216
ozone_level,BASIC,SMOTE,7,5,216
pen_digits,ADVANCED,ADASYN,3,1,216
pen_digits,ADVANCED,ADASYN,3,2,216
pen_digits,ADVANCED,ADASYN,3,3,216
pen_digits,ADVANCED,ADASYN,3,4,216
pen_digits,ADVANCED,ADASYN,3,5,216
pen_digits,ADVANCED,ADASYN,5,1,216
pen_digits,ADVANCED,ADASYN,5,2,216
pen_digits,ADVANCED,ADASYN,5,3,216
pen_digits,ADVANCED,ADASYN,5,4,216
pen_digits,ADVANCED,ADASYN,5,5,216
pen_digits,ADVANCED,ADASYN,7,1,216
pen_digits,ADVANCED,ADASYN,7,2,216
pen_digits,ADVANCED,ADASYN,7,3,216
pen_digits,ADVANCED,ADASYN,7,4,216
pen_digits,ADVANCED,ADASYN,7,5,216
pen_digits,ADVANCED,BorderlineSMOTE,3,1,216
pen_digits,ADVANCED,BorderlineSMOTE,3,2,216
pen_digits,ADVANCED,BorderlineSMOTE,3,3,216
pen_digits,ADVANCED,BorderlineSMOTE,3,4,216
pen_digits,ADVANCED,BorderlineSMOTE,3,5,216
pen_digits,ADVANCED,BorderlineSMOTE,5,1,216
pen_digits,ADVANCED,BorderlineSMOTE,5,2,216
pen_digits,ADVANCED,BorderlineSMOTE,5,3,216
pen_digits,ADVANCED,BorderlineSMOTE,5,4,216
pen_digits,ADVANCED,BorderlineSMOTE,5,5,216
pen_digits,ADVANCED,BorderlineSMOTE,7,1,216
pen_digits,ADVANCED,BorderlineSMOTE,7,2,216
pen_digits,ADVANCED,BorderlineSMOTE,7,3,216
pen_digits,ADVANCED,BorderlineSMOTE,7,4,216
pen_digits,ADVANCED,BorderlineSMOTE,7,5,216
pen_digits,ADVANCED,SMOTE,3,1,216
pen_digits,ADVANCED,SMOTE,3,2,216
pen_digits,ADVANCED,SMOTE,3,3,216
pen_digits,ADVANCED,SMOTE,3,4,216
pen_digits,ADVANCED,SMOTE,3,5,216
pen_digits,ADVANCED,SMOTE,5,1,216
pen_digits,ADVANCED,SMOTE,5,2,216
pen_digits,ADVANCED,SMOTE,5,3,216
pen_digits,ADVANCED,SMOTE,5,4,216
pen_digits,ADVANCED,SMOTE,5,5,216
pen_digits,ADVANCED,SMOTE,7,1,216
pen_digits,ADVANCED,SMOTE,7,2,216
pen_digits,ADVANCED,SMOTE,7,3,216
pen_digits,ADVANCED,SMOTE,7,4,216
pen_digits,ADVANCED,SMOTE,7,5,216
pen_digits,BASIC,ADASYN,3,1,216
pen_digits,BASIC,ADASYN,3,2,216
pen_digits,BASIC,ADASYN,3,3,216
pen_digits,BASIC,ADASYN,3,4,216
pen_digits,BASIC,ADASYN,3,5,216
pen_digits,BASIC,ADASYN,5,1,216
pen_digits,BASIC,ADASYN,5,2,216
pen_digits,BASIC,ADASYN,5,3,216
pen_digits,BASIC,ADASYN,5,4,216
pen_digits,BASIC,ADASYN,5,5,216
pen_digits,BASIC,BorderlineSMOTE,3,1,216
pen_digits,BASIC,BorderlineSMOTE,3,2,216
pen_digits,BASIC,BorderlineSMOTE,3,3,216
pen_digits,BASIC,BorderlineSMOTE,3,4,216
pen_digits,BASIC,BorderlineSMOTE,3,5,216
pen_digits,BASIC,BorderlineSMOTE,5,1,216
pen_digits,BASIC,BorderlineSMOTE,5,2,216
pen_digits,BASIC,BorderlineSMOTE,5,3,216
pen_digits,BASIC,BorderlineSMOTE,5,4,216
pen_digits,BASIC,BorderlineSMOTE,5,5,216
pen_digits,BASIC,BorderlineSMOTE,7,1,216
pen_digits,BASIC,BorderlineSMOTE,7,2,216
pen_digits,BASIC,BorderlineSMOTE,7,3,216
pen_digits,BASIC,BorderlineSMOTE,7,4,216
pen_digits,BASIC,BorderlineSMOTE,7,5,216
pen_digits,BASIC,SMOTE,3,1,216
pen_digits,BASIC,SMOTE,3,2,216
pen_digits,BASIC,SMOTE,3,3,216
pen_digits,BASIC,SMOTE,3,4,216
pen_digits,BASIC,SMOTE,3,5,216
pen_digits,BASIC,SMOTE,5,1,216
pen_digits,BASIC,SMOTE,5,2,216
pen_digits,BASIC,SMOTE,5,3,216
pen_digits,BASIC,SMOTE,5,4,216
pen_digits,BASIC,SMOTE,5,5,216
pen_digits,BASIC,SMOTE,7,1,216
pen_digits,BASIC,SMOTE,7,2,216
pen_digits,BASIC,SMOTE,7,3,216
pen_digits,BASIC,SMOTE,7,4,216
pen_digits,BASIC,SMOTE,7,5,216
satimage,ADVANCED,ADASYN,3,1,216
satimage,ADVANCED,ADASYN,3,2,216
satimage,ADVANCED,ADASYN,3,3,216
satimage,ADVANCED,ADASYN,3,4,216
satimage,ADVANCED,ADASYN,3,5,216
satimage,ADVANCED,ADASYN,5,1,216
satimage,ADVANCED,ADASYN,5,2,216
satimage,ADVANCED,ADASYN,5,3,216
satimage,ADVANCED,ADASYN,5,4,216
satimage,ADVANCED,ADASYN,5,5,216
satimage,ADVANCED,ADASYN,7,1,216
satimage,ADVANCED,ADASYN,7,2,216
satimage,ADVANCED,ADASYN,7,3,216
satimage,ADVANCED,ADASYN,7,4,216
satimage,ADVANCED,ADASYN,7,5,216
satimage,ADVANCED,BorderlineSMOTE,3,1,216
satimage,ADVANCED,BorderlineSMOTE,3,2,216
satimage,ADVANCED,BorderlineSMOTE,3,3,216
satimage,ADVANCED,BorderlineSMOTE,3,4,216
satimage,ADVANCED,BorderlineSMOTE,3,5,216
satimage,ADVANCED,BorderlineSMOTE,5,1,216
satimage,ADVANCED,BorderlineSMOTE,5,2,216
satimage,ADVANCED,BorderlineSMOTE,5,3,216
satimage,ADVANCED,BorderlineSMOTE,5,4,216
satimage,ADVANCED,BorderlineSMOTE,5,5,216
satimage,ADVANCED,BorderlineSMOTE,7,1,216
satimage,ADVANCED,BorderlineSMOTE,7,2,216
satimage,ADVANCED,BorderlineSMOTE,7,3,216
satimage,ADVANCED,BorderlineSMOTE,7,4,216
satimage,ADVANCED,BorderlineSMOTE,7,5,216
satimage,ADVANCED,SMOTE,3,1,216
satimage,ADVANCED,SMOTE,3,2,216
satimage,ADVANCED,SMOTE,3,3,216
satimage,ADVANCED,SMOTE,3,4,216
satimage,ADVANCED,SMOTE,3,5,216
satimage,ADVANCED,SMOTE,5,1,216
satimage,ADVANCED,SMOTE,5,2,216
satimage,ADVANCED,SMOTE,5,3,216
satimage,ADVANCED,SMOTE,5,4,216
satimage,ADVANCED,SMOTE,5,5,216
satimage,ADVANCED,SMOTE,7,1,216
satimage,ADVANCED,SMOTE,7,2,216
satimage,ADVANCED,SMOTE,7,3,216
satimage,ADVANCED,SMOTE,7,4,216
satimage,ADVANCED,SMOTE,7,5,216
satimage,BASIC,ADASYN,3,1,216
satimage,BASIC,ADASYN,3,2,216
satimage,BASIC,ADASYN,3,3,216
satimage,BASIC,ADASYN,3,4,216
satimage,BASIC,ADASYN,3,5,216
satimage,BASIC,ADASYN,5,1,216
satimage,BASIC,ADASYN,5,2,216
satimage,BASIC,ADASYN,5,3,216
satimage,BASIC,ADASYN,5,4,216
satimage,BASIC,ADASYN,5,5,216
satimage,BASIC,BorderlineSMOTE,3,1,216
satimage,BASIC,BorderlineSMOTE,3,2,216
satimage,BASIC,BorderlineSMOTE,3,3,216
satimage,BASIC,BorderlineSMOTE,3,4,216
satimage,BASIC,BorderlineSMOTE,3,5,216
satimage,BASIC,BorderlineSMOTE,5,1,216
satimage,BASIC,BorderlineSMOTE,5,2,216
satimage,BASIC,BorderlineSMOTE,5,3,216
satimage,BASIC,BorderlineSMOTE,5,4,216
satimage,BASIC,BorderlineSMOTE,5,5,216
satimage,BASIC,BorderlineSMOTE,7,1,216
satimage,BASIC,BorderlineSMOTE,7,2,216
satimage,BASIC,BorderlineSMOTE,7,3,216
satimage,BASIC,BorderlineSMOTE,7,4,216
satimage,BASIC,BorderlineSMOTE,7,5,216
satimage,BASIC,SMOTE,3,1,216
satimage,BASIC,SMOTE,3,2,216
satimage,BASIC,SMOTE,3,3,216
satimage,BASIC,SMOTE,3,4,216
satimage,BASIC,SMOTE,3,5,216
satimage,BASIC,SMOTE,5,1,216
satimage,BASIC,SMOTE,5,2,216
satimage,BASIC,SMOTE,5,3,216
satimage,BASIC,SMOTE,5,4,216
satimage,BASIC,SMOTE,5,5,216
satimage,BASIC,SMOTE,7,1,216
satimage,BASIC,SMOTE,7,2,216
satimage,BASIC,SMOTE,7,3,216
satimage,BASIC,SMOTE,7,4,216
satimage,BASIC,SMOTE,7,5,216
scene,ADVANCED,ADASYN,3,1,216
scene,ADVANCED,ADASYN,3,2,216
scene,ADVANCED,ADASYN,3,3,216
scene,ADVANCED,ADASYN,3,4,216
scene,ADVANCED,ADASYN,3,5,216
scene,ADVANCED,ADASYN,5,1,216
scene,ADVANCED,ADASYN,5,2,216
scene,ADVANCED,ADASYN,5,3,216
scene,ADVANCED,ADASYN,5,4,216
scene,ADVANCED,ADASYN,5,5,216
scene,ADVANCED,ADASYN,7,1,216
scene,ADVANCED,ADASYN,7,2,216
scene,ADVANCED,ADASYN,7,3,216
scene,ADVANCED,ADASYN,7,4,216
scene,ADVANCED,ADASYN,7,5,216
scene,ADVANCED,BorderlineSMOTE,3,1,216
scene,ADVANCED,BorderlineSMOTE,3,2,216
scene,ADVANCED,BorderlineSMOTE,3,3,216
scene,ADVANCED,BorderlineSMOTE,3,4,216
scene,ADVANCED,BorderlineSMOTE,3,5,216
scene,ADVANCED,BorderlineSMOTE,5,1,216
scene,ADVANCED,BorderlineSMOTE,5,2,216
scene,ADVANCED,BorderlineSMOTE,5,3,216
scene,ADVANCED,BorderlineSMOTE,5,4,216
scene,ADVANCED,BorderlineSMOTE,5,5,216
scene,ADVANCED,BorderlineSMOTE,7,1,216
scene,ADVANCED,BorderlineSMOTE,7,2,216
scene,ADVANCED,BorderlineSMOTE,7,3,216
scene,ADVANCED,BorderlineSMOTE,7,4,216
scene,ADVANCED,BorderlineSMOTE,7,5,216
scene,ADVANCED,SMOTE,3,1,216
scene,ADVANCED,SMOTE,3,2,216
scene,ADVANCED,SMOTE,3,3,216
scene,ADVANCED,SMOTE,3,4,216
scene,ADVANCED,SMOTE,3,5,216
scene,ADVANCED,SMOTE,5,1,216
scene,ADVANCED,SMOTE,5,2,216
scene,ADVANCED,SMOTE,5,3,216
scene,ADVANCED,SMOTE,5,4,216
scene,ADVANCED,SMOTE,5,5,216
scene,ADVANCED,SMOTE,7,1,216
scene,ADVANCED,SMOTE,7,2,216
scene,ADVANCED,SMOTE,7,3,216
scene,ADVANCED,SMOTE,7,4,216
scene,ADVANCED,SMOTE,7,5,216
scene,BASIC,ADASYN,3,1,216
scene,BASIC,ADASYN,3,2,216
scene,BASIC,ADASYN,3,3,216
scene,BASIC,ADASYN,3,4,216
scene,BASIC,ADASYN,3,5,216
scene,BASIC,ADASYN,5,1,216
scene,BASIC,ADASYN,5,2,216
scene,BASIC,ADASYN,5,3,216
scene,BASIC,ADASYN,5,4,216
scene,BASIC,ADASYN,5,5,216
scene,BASIC,ADASYN,7,5,216
scene,BASIC,BorderlineSMOTE,3,1,216
scene,BASIC,BorderlineSMOTE,3,2,216
scene,BASIC,BorderlineSMOTE,3,3,216
scene,BASIC,BorderlineSMOTE,3,4,216
scene,BASIC,BorderlineSMOTE,3,5,216
scene,BASIC,BorderlineSMOTE,5,1,216
scene,BASIC,BorderlineSMOTE,5,2,216
scene,BASIC,BorderlineSMOTE,5,3,216
scene,BASIC,BorderlineSMOTE,5,4,216
scene,BASIC,BorderlineSMOTE,5,5,216
scene,BASIC,BorderlineSMOTE,7,1,216
scene,BASIC,BorderlineSMOTE,7,2,216
scene,BASIC,BorderlineSMOTE,7,3,216
scene,BASIC,BorderlineSMOTE,7,4,216
scene,BASIC,BorderlineSMOTE,7,5,216
scene,BASIC,SMOTE,3,1,216
scene,BASIC,SMOTE,3,2,216
scene,BASIC,SMOTE,3,3,216
scene,BASIC,SMOTE,3,4,216
scene,BASIC,SMOTE,3,5,216
scene,BASIC,SMOTE,5,1,216
scene,BASIC,SMOTE,5,2,216
scene,BASIC,SMOTE,5,3,216
scene,BASIC,SMOTE,5,4,216
scene,BASIC,SMOTE,5,5,216
scene,BASIC,SMOTE,7,1,216
scene,BASIC,SMOTE,7,2,216
scene,BASIC,SMOTE,7,3,216
scene,BASIC,SMOTE,7,4,216
scene,BASIC,SMOTE,7,5,216
sick_euthyroid,ADVANCED,ADASYN,3,1,216
sick_euthyroid,ADVANCED,ADASYN,3,2,216
sick_euthyroid,ADVANCED,ADASYN,3,3,216
sick_euthyroid,ADVANCED,ADASYN,3,4,216
sick_euthyroid,ADVANCED,ADASYN,3,5,216
sick_euthyroid,ADVANCED,ADASYN,5,1,216
sick_euthyroid,ADVANCED,ADASYN,5,2,216
sick_euthyroid,ADVANCED,ADASYN,5,3,216
sick_euthyroid,ADVANCED,ADASYN,5,4,216
sick_euthyroid,ADVANCED,ADASYN,5,5,216
sick_euthyroid,ADVANCED,ADASYN,7,1,216
sick_euthyroid,ADVANCED,ADASYN,7,2,216
sick_euthyroid,ADVANCED,ADASYN,7,3,216
sick_euthyroid,ADVANCED,ADASYN,7,4,216
sick_euthyroid,ADVANCED,ADASYN,7,5,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,3,1,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,3,2,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,3,3,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,3,4,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,3,5,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,5,1,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,5,2,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,5,3,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,5,4,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,5,5,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,7,1,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,7,2,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,7,3,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,7,4,216
sick_euthyroid,ADVANCED,BorderlineSMOTE,7,5,216
sick_euthyroid,ADVANCED,SMOTE,3,1,216
sick_euthyroid,ADVANCED,SMOTE,3,2,216
sick_euthyroid,ADVANCED,SMOTE,3,3,216
sick_euthyroid,ADVANCED,SMOTE,3,4,216
sick_euthyroid,ADVANCED,SMOTE,3,5,216
sick_euthyroid,ADVANCED,SMOTE,5,1,216
sick_euthyroid,ADVANCED,SMOTE,5,2,216
sick_euthyroid,ADVANCED,SMOTE,5,3,216
sick_euthyroid,ADVANCED,SMOTE,5,4,216
sick_euthyroid,ADVANCED,SMOTE,5,5,216
sick_euthyroid,ADVANCED,SMOTE,7,1,216
sick_euthyroid,ADVANCED,SMOTE,7,2,216
sick_euthyroid,ADVANCED,SMOTE,7,3,216
sick_euthyroid,ADVANCED,SMOTE,7,4,216
sick_euthyroid,ADVANCED,SMOTE,7,5,216
sick_euthyroid,BASIC,ADASYN,3,1,216
sick_euthyroid,BASIC,ADASYN,3,2,216
sick_euthyroid,BASIC,ADASYN,3,3,216
sick_euthyroid,BASIC,ADASYN,3,4,216
sick_euthyroid,BASIC,ADASYN,3,5,216
sick_euthyroid,BASIC,ADASYN,5,1,216
sick_euthyroid,BASIC,ADASYN,5,2,216
sick_euthyroid,BASIC,ADASYN,5,3,216
sick_euthyroid,BASIC,ADASYN,5,4,216
sick_euthyroid,BASIC,ADASYN,5,5,216
sick_euthyroid,BASIC,BorderlineSMOTE,3,1,216
sick_euthyroid,BASIC,BorderlineSMOTE,3,2,216
sick_euthyroid,BASIC,BorderlineSMOTE,3,3,216
sick_euthyroid,BASIC,BorderlineSMOTE,3,4,216
sick_euthyroid,BASIC,BorderlineSMOTE,3,5,216
sick_euthyroid,BASIC,BorderlineSMOTE,5,1,216
sick_euthyroid,BASIC,BorderlineSMOTE,5,2,216
sick_euthyroid,BASIC,BorderlineSMOTE,5,3,216
sick_euthyroid,BASIC,BorderlineSMOTE,5,4,216
sick_euthyroid,BASIC,BorderlineSMOTE,5,5,216
sick_euthyroid,BASIC,BorderlineSMOTE,7,1,216
sick_euthyroid,BASIC,BorderlineSMOTE,7,2,216
sick_euthyroid,BASIC,BorderlineSMOTE,7,3,216
sick_euthyroid,BASIC,BorderlineSMOTE,7,4,216
sick_euthyroid,BASIC,BorderlineSMOTE,7,5,216
sick_euthyroid,BASIC,SMOTE,3,1,216
sick_euthyroid,BASIC,SMOTE,3,2,216
sick_euthyroid,BASIC,SMOTE,3,3,216
sick_euthyroid,BASIC,SMOTE,3,4,216
sick_euthyroid,BASIC,SMOTE,3,5,216
sick_euthyroid,BASIC,SMOTE,5,1,216
sick_euthyroid,BASIC,SMOTE,5,2,216
sick_euthyroid,BASIC,SMOTE,5,3,216
sick_euthyroid,BASIC,SMOTE,5,4,216
sick_euthyroid,BASIC,SMOTE,5,5,216
sick_euthyroid,BASIC,SMOTE,7,1,216
sick_euthyroid,BASIC,SMOTE,7,2,216
sick_euthyroid,BASIC,SMOTE,7,3,216
sick_euthyroid,BASIC,SMOTE,7,4,216
sick_euthyroid,BASIC,SMOTE,7,5,216
solar_flare_m0,ADVANCED,ADASYN,3,1,216
solar_flare_m0,ADVANCED,ADASYN,3,2,216
solar_flare_m0,ADVANCED,ADASYN,3,3,216
solar_flare_m0,ADVANCED,ADASYN,3,4,216
solar_flare_m0,ADVANCED,ADASYN,3,5,216
solar_flare_m0,ADVANCED,ADASYN,5,1,216
solar_flare_m0,ADVANCED,ADASYN,5,2,216
solar_flare_m0,ADVANCED,ADASYN,5,3,216
solar_flare_m0,ADVANCED,ADASYN,5,4,216
solar_flare_m0,ADVANCED,ADASYN,5,5,216
solar_flare_m0,ADVANCED,ADASYN,7,1,216
solar_flare_m0,ADVANCED,ADASYN,7,2,216
solar_flare_m0,ADVANCED,ADASYN,7,3,216
solar_flare_m0,ADVANCED,ADASYN,7,4,216
solar_flare_m0,ADVANCED,ADASYN,7,5,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,3,1,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,3,2,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,3,3,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,3,4,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,3,5,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,5,1,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,5,2,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,5,3,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,5,4,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,5,5,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,7,1,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,7,2,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,7,3,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,7,4,216
solar_flare_m0,ADVANCED,BorderlineSMOTE,7,5,216
solar_flare_m0,ADVANCED,SMOTE,3,1,216
solar_flare_m0,ADVANCED,SMOTE,3,2,216
solar_flare_m0,ADVANCED,SMOTE,3,3,216
solar_flare_m0,ADVANCED,SMOTE,3,4,216
solar_flare_m0,ADVANCED,SMOTE,3,5,216
solar_flare_m0,ADVANCED,SMOTE,5,1,216
solar_flare_m0,ADVANCED,SMOTE,5,2,216
solar_flare_m0,ADVANCED,SMOTE,5,3,216
solar_flare_m0,ADVANCED,SMOTE,5,4,216
solar_flare_m0,ADVANCED,SMOTE,5,5,216
solar_flare_m0,ADVANCED,SMOTE,7,1,216
solar_flare_m0,ADVANCED,SMOTE,7,2,216
solar_flare_m0,ADVANCED,SMOTE,7,3,216
solar_flare_m0,ADVANCED,SMOTE,7,4,216
solar_flare_m0,ADVANCED,SMOTE,7,5,216
solar_flare_m0,BASIC,ADASYN,3,1,216
solar_flare_m0,BASIC,ADASYN,3,2,216
solar_flare_m0,BASIC,ADASYN,3,3,216
solar_flare_m0,BASIC,ADASYN,3,4,216
solar_flare_m0,BASIC,ADASYN,3,5,216
solar_flare_m0,BASIC,ADASYN,5,1,216
solar_flare_m0,BASIC,ADASYN,5,2,216
solar_flare_m0,BASIC,ADASYN,5,3,216
solar_flare_m0,BASIC,ADASYN,5,4,216
solar_flare_m0,BASIC,ADASYN,5,5,216
solar_flare_m0,BASIC,ADASYN,7,1,216
solar_flare_m0,BASIC,ADASYN,7,2,216
solar_flare_m0,BASIC,ADASYN,7,3,216
solar_flare_m0,BASIC,ADASYN,7,4,216
solar_flare_m0,BASIC,ADASYN,7,5,216
solar_flare_m0,BASIC,BorderlineSMOTE,3,1,216
solar_flare_m0,BASIC,BorderlineSMOTE,3,2,216
solar_flare_m0,BASIC,BorderlineSMOTE,3,3,216
solar_flare_m0,BASIC,BorderlineSMOTE,3,4,216
solar_flare_m0,BASIC,BorderlineSMOTE,3,5,216
solar_flare_m0,BASIC,BorderlineSMOTE,5,1,216
solar_flare_m0,BASIC,BorderlineSMOTE,5,2,216
solar_flare_m0,BASIC,BorderlineSMOTE,5,3,216
solar_flare_m0,BASIC,BorderlineSMOTE,5,4,216
solar_flare_m0,BASIC,BorderlineSMOTE,5,5,216
solar_flare_m0,BASIC,BorderlineSMOTE,7,1,216
solar_flare_m0,BASIC,BorderlineSMOTE,7,2,216
solar_flare_m0,BASIC,BorderlineSMOTE,7,3,216
solar_flare_m0,BASIC,BorderlineSMOTE,7,4,216
solar_flare_m0,BASIC,BorderlineSMOTE,7,5,216
solar_flare_m0,BASIC,SMOTE,3,1,216
solar_flare_m0,BASIC,SMOTE,3,2,216
solar_flare_m0,BASIC,SMOTE,3,3,216
solar_flare_m0,BASIC,SMOTE,3,4,216
solar_flare_m0,BASIC,SMOTE,3,5,216
solar_flare_m0,BASIC,SMOTE,5,1,216
solar_flare_m0,BASIC,SMOTE,5,2,216
solar_flare_m0,BASIC,SMOTE,5,3,216
solar_flare_m0,BASIC,SMOTE,5,4,216
solar_flare_m0,BASIC,SMOTE,5,5,216
solar_flare_m0,BASIC,SMOTE,7,1,216
solar_flare_m0,BASIC,SMOTE,7,2,216
solar_flare_m0,BASIC,SMOTE,7,3,216
solar_flare_m0,BASIC,SMOTE,7,4,216
solar_flare_m0,BASIC,SMOTE,7,5,216
spectrometer,ADVANCED,ADASYN,3,1,216
spectrometer,ADVANCED,ADASYN,3,2,216
spectrometer,ADVANCED,ADASYN,3,3,216
spectrometer,ADVANCED,ADASYN,3,4,216
spectrometer,ADVANCED,ADASYN,3,5,216
spectrometer,ADVANCED,ADASYN,5,1,216
spectrometer,ADVANCED,ADASYN,5,2,216
spectrometer,ADVANCED,ADASYN,5,3,216
spectrometer,ADVANCED,ADASYN,5,4,216
spectrometer,ADVANCED,ADASYN,5,5,216
spectrometer,ADVANCED,ADASYN,7,1,216
spectrometer,ADVANCED,ADASYN,7,2,216
spectrometer,ADVANCED,ADASYN,7,3,216
spectrometer,ADVANCED,ADASYN,7,4,216
spectrometer,ADVANCED,ADASYN,7,5,216
spectrometer,ADVANCED,BorderlineSMOTE,3,1,216
spectrometer,ADVANCED,BorderlineSMOTE,3,2,216
spectrometer,ADVANCED,BorderlineSMOTE,3,3,216
spectrometer,ADVANCED,BorderlineSMOTE,3,4,216
spectrometer,ADVANCED,BorderlineSMOTE,3,5,216
spectrometer,ADVANCED,BorderlineSMOTE,5,1,216
spectrometer,ADVANCED,BorderlineSMOTE,5,2,216
spectrometer,ADVANCED,BorderlineSMOTE,5,3,216
spectrometer,ADVANCED,BorderlineSMOTE,5,4,216
spectrometer,ADVANCED,BorderlineSMOTE,5,5,216
spectrometer,ADVANCED,BorderlineSMOTE,7,1,216
spectrometer,ADVANCED,BorderlineSMOTE,7,2,216
spectrometer,ADVANCED,BorderlineSMOTE,7,3,216
spectrometer,ADVANCED,BorderlineSMOTE,7,4,216
spectrometer,ADVANCED,BorderlineSMOTE,7,5,216
spectrometer,ADVANCED,SMOTE,3,1,216
spectrometer,ADVANCED,SMOTE,3,2,216
spectrometer,ADVANCED,SMOTE,3,3,216
spectrometer,ADVANCED,SMOTE,3,4,216
spectrometer,ADVANCED,SMOTE,3,5,216
spectrometer,ADVANCED,SMOTE,5,1,216
spectrometer,ADVANCED,SMOTE,5,2,216
spectrometer,ADVANCED,SMOTE,5,3,216
spectrometer,ADVANCED,SMOTE,5,4,216
spectrometer,ADVANCED,SMOTE,5,5,216
spectrometer,ADVANCED,SMOTE,7,1,216
spectrometer,ADVANCED,SMOTE,7,2,216
spectrometer,ADVANCED,SMOTE,7,3,216
spectrometer,ADVANCED,SMOTE,7,4,216
spectrometer,ADVANCED,SMOTE,7,5,216
spectrometer,BASIC,ADASYN,3,1,216
spectrometer,BASIC,ADASYN,3,2,216
spectrometer,BASIC,ADASYN,3,3,216
spectrometer,BASIC,ADASYN,3,4,216
spectrometer,BASIC,ADASYN,3,5,216
spectrometer,BASIC,ADASYN,5,1,216
spectrometer,BASIC,ADASYN,5,2,216
spectrometer,BASIC,ADASYN,5,3,216
spectrometer,BASIC,ADASYN,5,4,216
spectrometer,BASIC,ADASYN,5,5,216
spectrometer,BASIC,BorderlineSMOTE,3,1,216
spectrometer,BASIC,BorderlineSMOTE,3,2,216
spectrometer,BASIC,BorderlineSMOTE,3,3,216
spectrometer,BASIC,BorderlineSMOTE,3,4,216
spectrometer,BASIC,BorderlineSMOTE,3,5,216
spectrometer,BASIC,BorderlineSMOTE,5,1,216
spectrometer,BASIC,BorderlineSMOTE,5,2,216
spectrometer,BASIC,BorderlineSMOTE,5,3,216
spectrometer,BASIC,BorderlineSMOTE,5,4,216
spectrometer,BASIC,BorderlineSMOTE,5,5,216
spectrometer,BASIC,BorderlineSMOTE,7,1,216
spectrometer,BASIC,BorderlineSMOTE,7,2,216
spectrometer,BASIC,BorderlineSMOTE,7,3,216
spectrometer,BASIC,BorderlineSMOTE,7,4,216
spectrometer,BASIC,BorderlineSMOTE,7,5,216
spectrometer,BASIC,SMOTE,3,1,216
spectrometer,BASIC,SMOTE,3,2,216
spectrometer,BASIC,SMOTE,3,3,216
spectrometer,BASIC,SMOTE,3,4,216
spectrometer,BASIC,SMOTE,3,5,216
spectrometer,BASIC,SMOTE,5,1,216
spectrometer,BASIC,SMOTE,5,2,216
spectrometer,BASIC,SMOTE,5,3,216
spectrometer,BASIC,SMOTE,5,4,216
spectrometer,BASIC,SMOTE,5,5,216
spectrometer,BASIC,SMOTE,7,1,216
spectrometer,BASIC,SMOTE,7,2,216
spectrometer,BASIC,SMOTE,7,3,216
spectrometer,BASIC,SMOTE,7,4,216
spectrometer,BASIC,SMOTE,7,5,216
thyroid_sick,ADVANCED,ADASYN,3,1,216
thyroid_sick,ADVANCED,ADASYN,3,2,216
thyroid_sick,ADVANCED,ADASYN,3,3,216
thyroid_sick,ADVANCED,ADASYN,3,4,216
thyroid_sick,ADVANCED,ADASYN,3,5,216
thyroid_sick,ADVANCED,ADASYN,5,1,216
thyroid_sick,ADVANCED,ADASYN,5,2,216
thyroid_sick,ADVANCED,ADASYN,5,3,216
