dataset_name,oversampler_name,n_neighbors,oversampling_option,mean,std
libras_move,BorderlineSMOTE,5,BASIC,0.7616490299832408,0.09985803245790997
libras_move,BorderlineSMOTE,7,ADVANCED,0.7955555555555556,0.03626013861180143
libras_move,BorderlineSMOTE,7,BASIC,0.7825793650794445,0.08376160181742344
libras_move,SMOTE,3,ADVANCED,0.7594444444444445,0.10262390131946149
libras_move,SMOTE,3,BASIC,0.7404012345687038,0.11749646871739622
libras_move,SMOTE,5,ADVANCED,0.7733333333333334,0.0854145427601249
libras_move,SMOTE,5,BASIC,0.784382716049537,0.06589708440656754
libras_move,SMOTE,7,ADVANCED,0.7866666666666667,0.06185276547454398
libras_move,SMOTE,7,BASIC,0.8000925925925926,0.07921060219581164
mammography,ADASYN,3,ADVANCED,0.5331962954464815,0.09008819280791895
mammography,ADASYN,3,BASIC,0.427189409085,0.11465683867759009
mammography,ADASYN,5,ADVANCED,0.5289947599498148,0.09186687409172904
mammography,ADASYN,5,BASIC,0.4324560804284259,0.11476013098752166
mammography,ADASYN,7,ADVANCED,0.5256713333337963,0.08695807623847499
mammography,ADASYN,7,BASIC,0.4293938864874074,0.11245451537586004
mammography,BorderlineSMOTE,3,ADVANCED,0.5818059512635185,0.0833278703676862
mammography,BorderlineSMOTE,3,BASIC,0.5541654033982408,0.12223690574088547
mammography,BorderlineSMOTE,5,ADVANCED,0.5702656130544445,0.08238583074938667
mammography,BorderlineSMOTE,5,BASIC,0.5405198135924074,0.10604985995780637
mammography,BorderlineSMOTE,7,ADVANCED,0.5592874439143519,0.07923692763833694
mammography,SMOTE,3,ADVANCED,0.5848624710972222,0.0824208319502913
mammography,SMOTE,3,BASIC,0.47689552173546296,0.10820572824627371
mammography,SMOTE,5,ADVANCED,0.5700096879783334,0.07775109641073476
mammography,SMOTE,5,BASIC,0.4832201123440741,0.10044408845569812
mammography,SMOTE,7,ADVANCED,0.5636659617728704,0.07520520116244465
mammography,SMOTE,7,BASIC,0.5023961099937038,0.09205258586962134
oil,ADASYN,3,ADVANCED,0.5789756693899074,0.14796830961824978
oil,ADASYN,3,BASIC,0.5766998511351853,0.09963357351874037
oil,ADASYN,5,ADVANCED,0.5862087655056482,0.14255650854064852
oil,ADASYN,5,BASIC,0.5579416256223149,0.13799976820323276
oil,ADASYN,7,ADVANCED,0.5717090985076853,0.1371331559551267
oil,ADASYN,7,BASIC,0.5384346924465742,0.14389317225962578
oil,BorderlineSMOTE,3,ADVANCED,0.5885155790831482,0.11150330670070951
oil,BorderlineSMOTE,3,BASIC,0.5887624926507409,0.10332225695748998
oil,BorderlineSMOTE,5,ADVANCED,0.5989925044215741,0.10164987987838421
oil,BorderlineSMOTE,5,BASIC,0.5716964105801852,0.09221097951656387
oil,BorderlineSMOTE,7,ADVANCED,0.5946509406326852,0.09771966017800168
oil,BorderlineSMOTE,7,BASIC,0.6699276649394444,0.10331441555617867
oil,SMOTE,3,ADVANCED,0.5840382662652779,0.12635626798674157
oil,SMOTE,3,BASIC,0.5447385394253703,0.14290254965967591
oil,SMOTE,5,ADVANCED,0.5993513482394445,0.1252368249664698
oil,SMOTE,5,BASIC,0.529064382115926,0.11748212232245979
oil,SMOTE,7,ADVANCED,0.5836040759619445,0.1256422135849997
